Format,Data,Paper_ROC,Reproduced_ROC,ROC_Difference,ROC_Absolute_Difference,Paper_AP,Reproduced_AP,AP_Difference,AP_Absolute_Difference
MAT,arrhythmia,0.8021,0.8133800000000001,0.011280000000000068,0.011280000000000068,0.4727,0.4897,0.017000000000000015,0.017000000000000015
MAT,breastw,0.9936,0.9935,-9.999999999998899e-05,9.999999999998899e-05,0.9877,0.98767,-2.999999999997449e-05,2.999999999997449e-05
MAT,cardio,0.8974,0.92139,0.023990000000000067,0.023990000000000067,0.5793,0.5902,0.01089999999999991,0.01089999999999991
MAT,ionosphere,0.8307,0.79921,-0.03149000000000002,0.03149000000000002,0.7194,0.68082,-0.03858000000000006,0.03858000000000006
MAT,lympho,0.9935,0.99483,0.0013299999999999423,0.0013299999999999423,0.8936,0.9052900000000002,0.0116900000000002,0.0116900000000002
MAT,mammography,0.8942,0.9127999999999998,0.01859999999999984,0.01859999999999984,0.429,0.4318499999999999,0.002849999999999908,0.002849999999999908
MAT,optdigits,0.7328,0.6798,-0.05300000000000005,0.05300000000000005,0.0532,0.0439599999999999,-0.009240000000000095,0.009240000000000095
MAT,pima,0.6638,0.6491900000000002,-0.01460999999999979,0.01460999999999979,0.5407,0.5222399999999999,-0.018460000000000032,0.018460000000000032
MAT,satellite,0.6612,0.6328100000000001,-0.028389999999999915,0.028389999999999915,0.5854,0.5697099999999999,-0.015690000000000093,0.015690000000000093
MAT,satimage-2,0.9852,0.97843,-0.006769999999999943,0.006769999999999943,0.8599,0.78243,-0.07747000000000004,0.07747000000000004
MAT,shuttle,0.998,0.99473,-0.003269999999999995,0.003269999999999995,0.9807,0.95845,-0.022249999999999992,0.022249999999999992
MAT,speech,0.4845,0.4727599999999999,-0.011740000000000084,0.011740000000000084,0.0195,0.02198,0.0024799999999999996,0.0024799999999999996
MAT,wbc,0.9747,0.95903,-0.015669999999999962,0.015669999999999962,0.7827,0.6952900000000001,-0.08740999999999988,0.08740999999999988
MAT,wine,0.949,0.8908700000000002,-0.05812999999999979,0.05812999999999979,0.6082,0.4324,-0.17579999999999996,0.17579999999999996
ARFF,Arrhythmia,0.7618,0.7663,0.0044999999999999485,0.0044999999999999485,0.7519,0.7581999999999999,0.006299999999999861,0.006299999999999861
ARFF,Cardiotocography,0.637,0.6641600000000001,0.027160000000000073,0.027160000000000073,0.3778,0.40094,0.023139999999999994,0.023139999999999994
ARFF,HeartDisease,0.6728,0.65052,-0.022279999999999966,0.022279999999999966,0.64,0.5966799999999999,-0.043320000000000136,0.043320000000000136
ARFF,Hepatitis,0.8432,0.8446300000000001,0.0014300000000001534,0.0014300000000001534,0.5849,0.56498,-0.019919999999999938,0.019919999999999938
ARFF,InternetAds,0.6763,0.6768299999999999,0.0005299999999999194,0.0005299999999999194,0.5102,0.5111700000000001,0.0009700000000001374,0.0009700000000001374
ARFF,Ionosphere,0.8219,0.7894,-0.03249999999999997,0.03249999999999997,0.5302,0.66203,0.13183,0.13183
ARFF,KDDCup99,0.9972,0.9976,0.00040000000000006697,0.00040000000000006697,0.5667,0.26049,-0.30621,0.30621
ARFF,Lymphography,0.9985,0.99897,0.00046999999999997044,0.00046999999999997044,0.4637,0.98667,0.52297,0.52297
ARFF,Pima,0.6466,0.6439199999999999,-0.0026800000000000157,0.0026800000000000157,0.7031,0.52614,-0.1769599999999999,0.1769599999999999
ARFF,Shuttle,0.8795,0.8330400000000001,-0.046459999999999835,0.046459999999999835,0.2389,0.0786499999999999,-0.16025000000000011,0.16025000000000011
ARFF,SpamBase,0.7007,0.6760900000000001,-0.02460999999999991,0.02460999999999991,0.9817,0.5283,-0.4534,0.4534
ARFF,Stamps,0.9388,0.94243,0.003630000000000022,0.003630000000000022,0.0854,0.4763199999999999,0.39091999999999993,0.39091999999999993
ARFF,Waveform,0.7865,0.72339,-0.06311,0.06311,0.0785,0.05998,-0.018520000000000002,0.018520000000000002
ARFF,WBC,0.9904,0.9903900000000002,-9.999999999732445e-06,9.999999999732445e-06,0.8381,0.83808,-1.999999999990898e-05,1.999999999990898e-05
ARFF,WDBC,0.9826,0.973,-0.009600000000000053,0.009600000000000053,0.8407,0.8265499999999999,-0.014150000000000107,0.014150000000000107
ARFF,WPBC,0.5465,0.53374,-0.012759999999999994,0.012759999999999994,0.2438,0.2378299999999999,-0.005970000000000086,0.005970000000000086
