Data,# Samples,# Dimensions,Outlier Perc,ABOD,CBLOF,HBOS,IForest,KNN,LODA,LOF,OCSVM,FB,COD
Arrhythmia,450,259,45.7778,0.7326,0.7403,0.7399,0.7429,0.737,0.6769,0.7396,0.7411,0.7422,0.7361
Cardiotocography,2114,21,22.0435,0.2295,0.2766,0.3462,0.3962,0.2786,0.5627,0.2119,0.3716,0.2212,0.3894
HeartDisease,270,13,44.4444,0.527,0.4762,0.5249,0.4947,0.5692,0.4984,0.4537,0.5374,0.4755,0.6257
Hepatitis,80,19,16.25,0.3621,0.4639,0.4162,0.5836,0.6889,0.2152,0.6212,0.6259,0.6155,0.598
InternetAds,1966,1555,18.7182,0.2518,0.311,0.5181,0.3923,0.2801,0.2437,0.2744,0.2913,0.237,0.4976
Ionosphere,351,32,35.8974,0.9474,0.8648,0.4112,0.796,0.9234,0.6146,0.8678,0.8499,0.8699,0.6518
KDDCup99,60839,41,0.1561,0.0127,0.1896,0.3254,0.2613,0.0386,0.0032,0.0106,0.115,0.0069,0.2732
Lymphography,148,18,4.0541,1.0,1.0,0.95,1.0,1.0,0.2783,1.0,1.0,1.0,0.95
Pima,768,8,34.8958,0.4568,0.4804,0.5056,0.5101,0.5064,0.416,0.4325,0.4591,0.4227,0.5294
Shuttle,1013,9,1.2833,0.4583,0.6531,0.0462,0.0633,0.5232,0.051,0.6635,0.4713,0.5037,0.0512
SpamBase,4207,57,39.9097,0.3921,0.4234,0.5548,0.5249,0.4453,0.4972,0.3472,0.4312,0.3384,0.545
Stamps,340,9,9.1176,0.3774,0.3565,0.5244,0.5091,0.4973,0.4826,0.3874,0.4916,0.4044,0.6878
Waveform,3443,21,2.9044,0.0514,0.1024,0.0609,0.0802,0.1215,0.0658,0.0944,0.0773,0.1151,0.0641
WBC,223,9,4.4843,0.75,0.7321,0.95,1.0,0.75,0.8542,0.4333,0.7929,0.0535,1.0
WDBC,367,30,2.7248,0.3907,0.5451,0.7246,0.6599,0.5708,0.5868,0.6294,0.5839,0.674,0.8385
WPBC,198,33,23.7374,0.2427,0.2682,0.2311,0.266,0.2455,0.2098,0.247,0.2586,0.2462,0.2872
