Data,# Samples,# Dimensions,Outlier Perc,ABOD,CBLOF,HBOS,IForest,KNN,LODA,LOF,OCSVM,FB,COD
Arrhythmia,450,259,45.7778,0.6757,0.6486,0.6486,0.6486,0.6351,0.6081,0.6622,0.6486,0.6622,0.6351
Cardiotocography,2114,21,22.0435,0.185,0.3179,0.3006,0.341,0.3121,0.5491,0.185,0.3526,0.2081,0.341
HeartDisease,270,13,44.4444,0.5,0.4565,0.5217,0.5217,0.5217,0.5,0.4783,0.5,0.5,0.587
Hepatitis,80,19,16.25,0.3333,0.3333,0.3333,0.3333,0.5,0.0,0.5,0.5,0.5,0.3333
InternetAds,1966,1555,18.7182,0.2517,0.3377,0.457,0.351,0.2649,0.2252,0.3245,0.3377,0.2649,0.4238
Ionosphere,351,32,35.8974,0.9123,0.7368,0.4211,0.6316,0.8421,0.5965,0.7368,0.7193,0.7368,0.5439
KDDCup99,60839,41,0.1561,0.0,0.0,0.1818,0.0625,0.0303,0.0,0.0,0.0303,0.0303,0.2121
Lymphography,148,18,4.0541,1.0,1.0,0.75,1.0,1.0,0.25,1.0,1.0,1.0,0.75
Pima,768,8,34.8958,0.4369,0.4951,0.4854,0.5049,0.5146,0.4369,0.4369,0.4369,0.4369,0.4757
Shuttle,1013,9,1.2833,0.3333,0.3333,0.0,0.0,0.3333,0.0,0.6667,0.3333,0.3333,0.0
SpamBase,4207,57,39.9097,0.4139,0.4501,0.5847,0.547,0.479,0.5305,0.3184,0.4616,0.3054,0.5904
Stamps,340,9,9.1176,0.2857,0.3571,0.5714,0.4286,0.4286,0.3571,0.2143,0.3571,0.2143,0.7143
Waveform,3443,21,2.9044,0.075,0.175,0.1,0.1,0.2,0.1,0.15,0.075,0.15,0.075
WBC,223,9,4.4843,0.5,0.5,0.75,1.0,0.5,0.75,0.5,0.5,0.0,1.0
WDBC,367,30,2.7248,0.4,0.4,0.6,0.6,0.4,0.8,0.6,0.4,0.6,0.8
WPBC,198,33,23.7374,0.2632,0.2105,0.1579,0.1579,0.2105,0.1579,0.2105,0.1579,0.2105,0.1579
