Data,# Samples,# Dimensions,Outlier Perc,ABOD,CBLOF,HBOS,IForest,KNN,LODA,LOF,OCSVM,FB,COD
Arrhythmia,450,259,45.7778,0.7815,0.7862,0.7611,0.783,0.781,0.7198,0.7829,0.7872,0.7874,0.7661
Cardiotocography,2114,21,22.0435,0.4137,0.5137,0.5628,0.6536,0.4642,0.789,0.4405,0.6835,0.4556,0.6522
HeartDisease,270,13,44.4444,0.5978,0.5621,0.6332,0.6066,0.6227,0.6097,0.5407,0.6024,0.5663,0.682
Hepatitis,80,19,16.25,0.7628,0.8205,0.75,0.7949,0.8397,0.5321,0.859,0.8333,0.8205,0.8205
InternetAds,1966,1555,18.7182,0.629,0.6154,0.6896,0.6191,0.6223,0.5476,0.6222,0.6157,0.5829,0.6684
Ionosphere,351,32,35.8974,0.9497,0.8718,0.5733,0.8239,0.9236,0.6817,0.8895,0.8404,0.8883,0.7366
KDDCup99,60839,41,0.1561,0.6518,0.9973,0.9965,0.9977,0.7348,0.7448,0.6409,0.995,0.6036,0.998
Lymphography,148,18,4.0541,1.0,1.0,0.9955,1.0,1.0,0.683,1.0,1.0,1.0,0.9955
Pima,768,8,34.8958,0.6343,0.6435,0.6404,0.6726,0.6929,0.6321,0.6221,0.6006,0.631,0.6316
Shuttle,1013,9,1.2833,0.8729,0.9921,0.7363,0.8579,0.9783,0.8113,0.9921,0.9629,0.9871,0.8004
SpamBase,4207,57,39.9097,0.4342,0.5552,0.6953,0.6537,0.5639,0.6123,0.4137,0.5572,0.3945,0.6919
Stamps,340,9,9.1176,0.7541,0.7371,0.9379,0.9297,0.9005,0.8987,0.8466,0.9139,0.8648,0.9748
Waveform,3443,21,2.9044,0.6471,0.708,0.7024,0.7708,0.737,0.6032,0.7205,0.6987,0.7353,0.7396
WBC,223,9,4.4843,0.9767,0.9767,0.9971,1.0,0.9797,0.9913,0.9564,0.9855,0.4971,1.0
WDBC,367,30,2.7248,0.8197,0.8676,0.9606,0.9451,0.8775,0.969,0.8493,0.9155,0.8563,0.9704
WPBC,198,33,23.7374,0.4892,0.5151,0.4547,0.4487,0.4935,0.4262,0.4884,0.4789,0.4849,0.472
