Data,# Samples,# Dimensions,Outlier Perc,ABOD,CBLOF,HBOS,IForest,KNN,LODA,LOF,OCSVM,FB,COD
Arrhythmia,450,259,45.7778,1.4654,2.5498,2.9004,0.1991,0.0068,0.0166,0.0049,0.0147,0.0596,0.1501
Cardiotocography,2114,21,22.0435,0.1745,0.0084,0.0044,0.2076,0.0137,0.0189,0.0235,0.106,0.5059,0.0228
HeartDisease,270,13,44.4444,0.0238,0.0044,0.0023,0.1974,0.0026,0.012,0.0034,0.0029,0.0376,0.0116
Hepatitis,80,19,16.25,0.0067,0.0027,0.0028,0.2068,0.0013,0.0158,0.0024,0.0022,0.0261,0.0115
InternetAds,1966,1555,18.7182,0.4695,0.0728,0.2563,0.2145,0.2535,0.0724,0.2105,1.0875,1.6997,1.3867
Ionosphere,351,32,35.8974,0.0291,0.0043,0.0065,0.2217,0.0019,0.0124,0.0028,0.0039,0.0437,0.0198
KDDCup99,60839,41,0.1561,15.9973,0.0871,0.0796,0.5773,11.3852,0.2346,11.589,137.6583,106.4869,0.4934
Lymphography,148,18,4.0541,0.0113,0.003,0.0026,0.2113,0.0019,0.0246,0.0019,0.0019,0.027,0.0158
Pima,768,8,34.8958,0.1176,0.0041,0.0027,0.2454,0.0053,0.0189,0.0078,0.0114,0.0796,0.0076
Shuttle,1013,9,1.2833,0.086,0.004,0.0019,0.2104,0.0132,0.0342,0.0185,0.0185,0.1146,0.0087
SpamBase,4207,57,39.9097,0.3961,0.0174,0.0171,0.3263,0.0784,0.0264,0.0826,0.5464,0.7782,0.0782
Stamps,340,9,9.1176,0.0338,0.0032,0.0017,0.2279,0.0025,0.0126,0.0048,0.0055,0.0393,0.0072
Waveform,3443,21,2.9044,0.2827,0.0069,0.0073,0.265,0.0444,0.0266,0.0495,0.345,1.3699,0.0332
WBC,223,9,4.4843,0.0206,0.0035,0.0017,0.194,0.002,0.0196,0.0061,0.0087,0.0586,0.007
WDBC,367,30,2.7248,0.0306,0.0037,0.0058,0.2019,0.0019,0.0211,0.004,0.0058,0.0379,0.0269
WPBC,198,33,23.7374,0.0146,0.003,0.0044,0.2077,0.0018,0.0155,0.0021,0.0023,0.0282,0.0191
