Data,# Samples,# Dimensions,Outlier Perc,ABOD,CBLOF,HBOS,IForest,KNN,LODA,LOF,OCSVM,FB,COD
arrhythmia,452,274,14.6018,0.3475,0.4067,0.5509,0.5374,0.4155,0.5405,0.3841,0.416,0.388,0.5563
breastw,683,9,34.9927,0.2981,0.8979,0.9442,0.9711,0.9257,0.9864,0.3188,0.9245,0.3057,0.9862
cardio,1831,21,9.6122,0.1883,0.2867,0.4656,0.4911,0.3605,0.1941,0.1794,0.4938,0.1877,0.5815
ionosphere,351,33,35.8974,0.9484,0.8676,0.4132,0.793,0.9373,0.7908,0.8819,0.8601,0.8819,0.6648
lympho,148,18,4.0541,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0
mammography,10000,6,2.23,0.0225,0.1036,0.0962,0.1891,0.1376,0.2175,0.0802,0.1563,0.0603,0.3689
optdigits,5216,64,2.8758,0.0228,0.0423,0.161,0.0397,0.0195,0.0444,0.0273,0.0254,0.026,0.0399
pima,768,8,34.8958,0.4818,0.4795,0.5672,0.5091,0.5022,0.4079,0.41,0.4478,0.4026,0.5256
satellite,6435,36,31.6395,0.403,0.6337,0.6761,0.6729,0.5466,0.5998,0.4152,0.6356,0.4111,0.5652
satimage-2,5803,36,1.2235,0.3078,0.9747,0.792,0.9492,0.4436,0.9357,0.0179,0.969,0.0188,0.8049
shuttle,10000,9,6.92,0.1586,0.1649,0.9564,0.9852,0.1872,0.5937,0.1209,0.9084,0.0675,0.9726
speech,3686,400,1.6549,0.0577,0.0195,0.0198,0.0165,0.0205,0.0184,0.0231,0.0195,0.0222,0.0191
wbc,378,30,5.5556,0.2278,0.5119,0.6379,0.4582,0.4289,0.6174,0.454,0.4167,0.4931,0.697
wine,129,13,7.7519,0.084,0.0825,0.5245,0.3517,0.1592,0.1157,0.4667,0.1527,0.4778,0.3966
