Data,# Samples,# Dimensions,Outlier Perc,ABOD,CBLOF,HBOS,IForest,KNN,LODA,LOF,OCSVM,FB,COD
arrhythmia,452,274,14.6018,0.3462,0.5,0.5385,0.5,0.5,0.5769,0.5,0.5,0.5,0.5385
breastw,683,9,34.9927,0.01,0.87,0.92,0.91,0.88,0.93,0.27,0.89,0.18,0.93
cardio,1831,21,9.6122,0.2388,0.2836,0.4627,0.4478,0.2836,0.194,0.194,0.4179,0.209,0.5224
ionosphere,351,33,35.8974,0.8929,0.7368,0.4211,0.6491,0.8596,0.6667,0.7544,0.7193,0.7544,0.5614
lympho,148,18,4.0541,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
mammography,10000,6,2.23,0.0,0.2174,0.087,0.2174,0.2283,0.2717,0.163,0.2391,0.1413,0.3804
optdigits,5216,64,2.8758,0.0,0.0,0.1964,0.0179,0.0,0.0357,0.0179,0.0,0.0179,0.0
pima,768,8,34.8958,0.466,0.4854,0.5243,0.4951,0.5437,0.4563,0.3981,0.4369,0.4369,0.466
satellite,6435,36,31.6395,0.399,0.5777,0.5483,0.5765,0.4896,0.4908,0.3929,0.5177,0.3929,0.4663
satimage-2,5803,36,1.2235,0.3125,0.9375,0.7188,0.9062,0.4062,0.9062,0.0312,0.9375,0.0312,0.7188
shuttle,10000,9,6.92,0.1835,0.2554,0.9601,0.9568,0.1763,0.5055,0.1295,0.9604,0.1007,0.9424
speech,3686,400,1.6549,0.0667,0.0,0.0333,0.0,0.0,0.0333,0.0333,0.0,0.0333,0.0
wbc,378,30,5.5556,0.25,0.5,0.5,0.375,0.5,0.5,0.375,0.5,0.375,0.625
wine,129,13,7.7519,0.0,0.0,0.4,0.4,0.0,0.0,0.4,0.0,0.4,0.6
