Data,# Samples,# Dimensions,Outlier Perc,ABOD,CBLOF,HBOS,IForest,KNN,LODA,LOF,OCSVM,FB,COD
arrhythmia,452,274,14.6018,0.8035,0.8092,0.8608,0.867,0.8176,0.8382,0.8082,0.8102,0.8082,0.8571
breastw,683,9,34.9927,0.3972,0.9595,0.9796,0.9857,0.9704,0.9925,0.454,0.9503,0.4297,0.9925
cardio,1831,21,9.6122,0.5783,0.7444,0.8435,0.9004,0.7309,0.637,0.6078,0.928,0.6049,0.9143
ionosphere,351,33,35.8974,0.9532,0.8828,0.5792,0.8331,0.9365,0.8118,0.9046,0.8584,0.9037,0.7483
lympho,148,18,4.0541,0.9831,1.0,1.0,1.0,1.0,0.9831,1.0,1.0,1.0,1.0
mammography,10000,6,2.23,0.5312,0.7646,0.8118,0.8501,0.8329,0.885,0.7046,0.8467,0.7172,0.9024
optdigits,5216,64,2.8758,0.4455,0.7097,0.867,0.6696,0.364,0.6335,0.4871,0.5132,0.4656,0.6864
pima,768,8,34.8958,0.6487,0.6493,0.6756,0.6809,0.6968,0.6042,0.6034,0.5806,0.5862,0.63
satellite,6435,36,31.6395,0.5781,0.7362,0.7461,0.7015,0.686,0.5912,0.5644,0.6405,0.562,0.6108
satimage-2,5803,36,1.2235,0.8346,0.9992,0.9829,0.9971,0.9564,0.9969,0.4542,0.9981,0.4561,0.9825
shuttle,10000,9,6.92,0.66,0.5694,0.9808,0.998,0.7471,0.877,0.5114,0.9919,0.4328,0.9965
speech,3686,400,1.6549,0.7228,0.4035,0.4017,0.3798,0.4079,0.3761,0.4242,0.3972,0.4228,0.4221
wbc,378,30,5.5556,0.8828,0.9062,0.947,0.8906,0.9323,0.8889,0.9167,0.9184,0.9245,0.9575
wine,129,13,7.7519,0.3234,0.3319,0.9319,0.8511,0.6766,0.5447,0.9319,0.5617,0.9362,0.7702
