Data,# Samples,# Dimensions,Outlier Perc,ABOD,CBLOF,HBOS,IForest,KNN,LODA,LOF,OCSVM,FB,COD
arrhythmia,452,274,14.6018,1.5126,2.4843,2.7562,0.2,0.0072,0.0168,0.0051,0.015,0.0654,0.1621
breastw,683,9,34.9927,0.0496,0.0037,0.0019,0.3176,0.0097,0.0278,0.0122,0.026,0.066,0.0107
cardio,1831,21,9.6122,0.1463,0.0052,0.0044,0.2121,0.0109,0.018,0.0165,0.0806,0.3724,0.0315
ionosphere,351,33,35.8974,0.0338,0.0034,0.0048,0.2349,0.0019,0.0179,0.003,0.004,0.0323,0.0205
lympho,148,18,4.0541,0.0155,0.0029,0.0026,0.1942,0.0014,0.0112,0.0019,0.0019,0.029,0.0157
mammography,10000,6,2.23,0.8485,0.014,0.0046,0.3043,0.1412,0.0431,0.1847,1.9463,1.4124,0.0444
optdigits,5216,64,2.8758,0.5174,0.0142,0.0219,0.2648,0.1106,0.0378,0.1306,0.777,1.3058,0.1624
pima,768,8,34.8958,0.0698,0.0034,0.0028,0.2021,0.0053,0.0142,0.0075,0.0112,0.0784,0.0077
satellite,6435,36,31.6395,0.6678,0.0238,0.0148,0.2689,0.1623,0.0436,0.1643,1.1372,1.4538,0.0938
satimage-2,5803,36,1.2235,0.6377,0.0114,0.013,0.2428,0.106,0.0379,0.1257,0.9036,1.2788,0.0844
shuttle,10000,9,6.92,1.1585,0.0091,0.0039,0.2943,0.3594,0.0763,0.5471,2.0402,3.2929,0.0304
speech,3686,400,1.6549,0.5354,0.081,0.11,0.234,0.2379,0.0674,0.2639,1.3194,1.9283,0.7497
wbc,378,30,5.5556,0.032,0.0036,0.0045,0.1985,0.0021,0.0138,0.003,0.0095,0.0375,0.0191
wine,129,13,7.7519,0.0106,0.0038,0.0031,0.1929,0.0018,0.0151,0.0027,0.0026,0.0314,0.0144
