Data,# Samples,# Dimensions,Outlier Perc,ABOD,CBLOF,HBOS,IForest,KNN,LODA,LOF,OCSVM,FB,COD
Arrhythmia,450,259,45.7778,0.70516,0.71516,0.7497,0.7536099999999999,0.7145400000000001,0.68897,0.70788,0.71952,0.7074,0.7581999999999999
Cardiotocography,2114,21,22.0435,0.24695999999999999,0.34021999999999997,0.36611000000000005,0.42528000000000005,0.31077999999999995,0.40533,0.25822,0.41852999999999996,0.26399,0.40094
HeartDisease,270,13,44.4444,0.53411,0.50784,0.61489,0.51691,0.5384499999999999,0.52118,0.47790999999999995,0.5127999999999999,0.4817699999999999,0.5966799999999999
Hepatitis,80,19,16.25,0.3304,0.3926,0.4648899999999999,0.4121499999999999,0.4751600000000001,0.36778,0.49856,0.42736,0.5212600000000001,0.56498
InternetAds,1966,1555,18.7182,0.27601,0.31971000000000005,0.5347,0.4702100000000001,0.28051,0.25312,0.2622,0.31568,0.21112999999999998,0.5111700000000001
Ionosphere,351,32,35.8974,0.9153300000000002,0.8777999999999999,0.36373,0.78137,0.91448,0.7009299999999999,0.81099,0.8215299999999999,0.8117599999999999,0.66203
KDDCup99,60839,41,0.1561,0.01817,0.18194,0.27806000000000003,0.25454,0.045689999999999995,0.12502,0.02801,0.12489999999999998,0.00763,0.26049
Lymphography,148,18,4.0541,0.8012600000000001,0.9389,0.97834,0.9833399999999999,0.9416800000000001,0.4871,0.9254300000000001,0.83667,0.8887599999999999,0.9866699999999999
Pima,768,8,34.8958,0.50548,0.48234000000000005,0.5278400000000001,0.5029399999999999,0.52497,0.41054,0.45838999999999996,0.47785,0.44548,0.52614
Shuttle,1013,9,1.2833,0.26263000000000003,0.40131000000000006,0.08038000000000001,0.10173999999999998,0.35974,0.19198,0.3945,0.30415000000000003,0.3686900000000001,0.07864999999999998
SpamBase,4207,57,39.9097,0.38046,0.4178,0.5247700000000001,0.49105,0.42275,0.40907,0.34831,0.4138299999999999,0.33011000000000007,0.5283
Stamps,340,9,9.1176,0.24650999999999995,0.23859,0.39827999999999997,0.38793,0.34115,0.39609000000000005,0.2291,0.34639,0.25753,0.47631999999999997
Waveform,3443,21,2.9044,0.06556,0.13027000000000002,0.05474,0.058309999999999994,0.13432,0.04826,0.10800000000000001,0.07020000000000001,0.11068,0.05998
WBC,223,9,4.4843,0.5421999999999999,0.56826,0.6934899999999999,0.88404,0.58064,0.64521,0.33025000000000004,0.70183,0.26449,0.83808
WDBC,367,30,2.7248,0.43002,0.65653,0.7952300000000001,0.7416100000000001,0.6535499999999999,0.8036200000000001,0.7038,0.61226,0.7078599999999999,0.8265499999999999
WPBC,198,33,23.7374,0.20951999999999998,0.2246,0.23026,0.23514999999999997,0.23283,0.21939000000000003,0.22483,0.22259,0.22745999999999994,0.23782999999999999
