Data,# Samples,# Dimensions,Outlier Perc,ABOD,CBLOF,HBOS,IForest,KNN,LODA,LOF,OCSVM,FB,COD
Arrhythmia,450,259,45.7778,0.6473699999999999,0.65136,0.6374599999999999,0.64863,0.64611,0.58348,0.64237,0.6440699999999999,0.64374,0.64864
Cardiotocography,2114,21,22.0435,0.24766999999999997,0.33120999999999995,0.3172,0.37899999999999995,0.32111999999999996,0.37084,0.26109,0.38771,0.26871999999999996,0.35561999999999994
HeartDisease,270,13,44.4444,0.49154,0.48571,0.58195,0.48346,0.5073700000000001,0.49688999999999994,0.47785,0.45853,0.46882,0.55867
Hepatitis,80,19,16.25,0.27308999999999994,0.35403999999999997,0.39904999999999996,0.33975999999999995,0.42667,0.33166,0.41095,0.40165999999999996,0.4776200000000001,0.47167000000000003
InternetAds,1966,1555,18.7182,0.30349000000000004,0.3479499999999999,0.47099,0.43141999999999997,0.28115999999999997,0.25876000000000005,0.32445,0.35117999999999994,0.24050000000000002,0.44642
Ionosphere,351,32,35.8974,0.85214,0.7941,0.33074,0.62882,0.84663,0.60666,0.7017800000000001,0.70843,0.70374,0.55908
KDDCup99,60839,41,0.1561,0.03776,0.0,0.13380999999999998,0.13154000000000002,0.04762,0.12088000000000002,0.045329999999999995,0.05341,0.00303,0.14933000000000002
Lymphography,148,18,4.0541,0.70834,0.90001,0.9083399999999999,0.93334,0.90001,0.44166,0.87501,0.75001,0.82501,0.94167
Pima,768,8,34.8958,0.50559,0.499,0.51969,0.50783,0.53416,0.43708,0.47692000000000007,0.48324000000000006,0.46403,0.48388
Shuttle,1013,9,1.2833,0.23689999999999997,0.24522999999999998,0.029169999999999995,0.029169999999999995,0.27023,0.17179,0.23035999999999998,0.23689999999999997,0.16369,0.054169999999999996
SpamBase,4207,57,39.9097,0.39055,0.44153000000000003,0.5593300000000001,0.5121800000000001,0.4457299999999999,0.4082199999999999,0.32359,0.43809,0.29852,0.5687800000000001
Stamps,340,9,9.1176,0.18694,0.20561999999999997,0.40173,0.33157000000000003,0.25007999999999997,0.33962,0.19642999999999997,0.26148,0.19701,0.5240400000000001
Waveform,3443,21,2.9044,0.09375999999999998,0.19153000000000003,0.06985,0.06743999999999999,0.18656,0.05941,0.16791,0.07566999999999999,0.14958000000000002,0.046439999999999995
WBC,223,9,4.4843,0.39499999999999996,0.43499999999999994,0.5916699999999999,0.7533299999999999,0.48833000000000004,0.5333300000000001,0.25332999999999994,0.5549999999999999,0.20333,0.74
WDBC,367,30,2.7248,0.315,0.64167,0.7166699999999999,0.71167,0.64167,0.7366699999999999,0.66167,0.6166699999999999,0.66167,0.77667
WPBC,198,33,23.7374,0.15996999999999997,0.17193999999999998,0.15953,0.13931,0.17103999999999997,0.17931,0.17152000000000003,0.15716000000000002,0.16909000000000002,0.16182
