Data,# Samples,# Dimensions,Outlier Perc,ABOD,CBLOF,HBOS,IForest,KNN,LODA,LOF,OCSVM,FB,COD
Arrhythmia,450,259,45.7778,0.7423,0.7554599999999999,0.74904,0.76407,0.7523299999999999,0.70118,0.7507499999999999,0.75723,0.75266,0.7663
Cardiotocography,2114,21,22.0435,0.45927000000000007,0.5607599999999999,0.59496,0.6724,0.49036,0.6579600000000001,0.50451,0.69759,0.51459,0.6641600000000001
HeartDisease,270,13,44.4444,0.5968500000000001,0.5786199999999999,0.6836199999999999,0.5925100000000001,0.61358,0.5814800000000001,0.56258,0.55477,0.5654399999999999,0.65052
Hepatitis,80,19,16.25,0.71553,0.76011,0.78529,0.7656099999999999,0.8110700000000002,0.64003,0.83049,0.7644299999999998,0.8385299999999999,0.8446300000000001
InternetAds,1966,1555,18.7182,0.6427200000000001,0.62198,0.6993600000000001,0.68507,0.62157,0.53818,0.60566,0.6232800000000001,0.54385,0.6768299999999999
Ionosphere,351,32,35.8974,0.92501,0.89225,0.552,0.8383200000000001,0.91866,0.78714,0.8604100000000001,0.83812,0.8598799999999999,0.7894
KDDCup99,60839,41,0.1561,0.6925199999999999,0.9951999999999999,0.9950399999999998,0.99649,0.76111,0.61789,0.57745,0.99481,0.5673100000000001,0.9975999999999999
Lymphography,148,18,4.0541,0.9863799999999999,0.9941600000000002,0.99839,0.9988400000000001,0.99649,0.9086500000000001,0.9950199999999999,0.9915099999999999,0.9938799999999999,0.9989699999999999
Pima,768,8,34.8958,0.6665699999999999,0.6603699999999999,0.6581100000000001,0.66921,0.7063,0.5943699999999998,0.65821,0.6403,0.6441000000000001,0.6439199999999999
Shuttle,1013,9,1.2833,0.8338000000000001,0.9848000000000001,0.7923899999999999,0.86277,0.96068,0.7352399999999999,0.9857399999999998,0.9657600000000001,0.9846199999999999,0.8330400000000001
SpamBase,4207,57,39.9097,0.4345,0.55336,0.66998,0.6287499999999999,0.5405999999999999,0.49589,0.4198799999999999,0.5426700000000001,0.38472000000000006,0.6760900000000001
Stamps,340,9,9.1176,0.76167,0.72362,0.9182199999999998,0.9096500000000001,0.87382,0.9026500000000001,0.7390100000000001,0.8799899999999999,0.7852700000000001,0.9424300000000001
Waveform,3443,21,2.9044,0.6521600000000001,0.7169,0.6829600000000001,0.68475,0.7402599999999999,0.62424,0.73543,0.6649400000000001,0.7347400000000001,0.72339
WBC,223,9,4.4843,0.9558799999999998,0.9663599999999999,0.98192,0.9912799999999999,0.9715499999999999,0.9747300000000001,0.9314899999999999,0.9751099999999999,0.77927,0.9903900000000002
WDBC,367,30,2.7248,0.90317,0.9117999999999998,0.96742,0.9450099999999999,0.9272400000000001,0.95006,0.9203700000000001,0.9380299999999998,0.9214800000000002,0.9730000000000001
WPBC,198,33,23.7374,0.45699000000000006,0.5022800000000001,0.53572,0.51121,0.52604,0.4986400000000001,0.51081,0.49790999999999996,0.51641,0.53374
