Data,# Samples,# Dimensions,Outlier Perc,ABOD,CBLOF,HBOS,IForest,KNN,LODA,LOF,OCSVM,FB,COD
Arrhythmia,450,259,45.7778,0.18604,0.26226999999999995,0.30703,0.20862000000000003,0.00559,0.01877,0.005699999999999999,0.0164,0.05466000000000001,0.17065
Cardiotocography,2114,21,22.0435,0.19408000000000003,0.007160000000000001,0.004829999999999999,0.23364000000000001,0.01614,0.02452,0.02361,0.11842000000000001,0.37892000000000003,0.02597
HeartDisease,270,13,44.4444,0.026090000000000002,0.0038700000000000006,0.0027300000000000002,0.22384999999999997,0.00295,0.016120000000000002,0.00383,0.00389,0.043050000000000005,0.009729999999999999
Hepatitis,80,19,16.25,0.00923,0.00311,0.0034999999999999996,0.2142,0.00151,0.01508,0.0026100000000000003,0.00227,0.03281,0.015489999999999999
InternetAds,1966,1555,18.7182,0.45837000000000006,0.06544,0.27569000000000005,0.23315000000000002,0.26076,0.09038,0.21546000000000004,1.0693700000000002,1.63245,1.32079
Ionosphere,351,32,35.8974,0.031869999999999996,0.00427,0.00578,0.21658,0.00219,0.01565,0.003659999999999999,0.005089999999999999,0.035449999999999995,0.02449
KDDCup99,60839,41,0.1561,16.47612,0.08962,0.07486,0.58577,11.42587,0.26928,11.68254,136.89639999999997,106.32633000000001,0.4981
Lymphography,148,18,4.0541,0.014580000000000001,0.00304,0.0030200000000000005,0.21359,0.0014299999999999996,0.015460000000000002,0.00212,0.0023499999999999997,0.03395,0.012649999999999998
Pima,768,8,34.8958,0.06765000000000002,0.004239999999999999,0.00197,0.22395,0.00679,0.0154,0.00848,0.01608,0.08476999999999998,0.00916
Shuttle,1013,9,1.2833,0.09317,0.0041600000000000005,0.00238,0.2218,0.00967,0.01823,0.013920000000000002,0.01956,0.13477,0.009850000000000001
SpamBase,4207,57,39.9097,0.42759,0.019230000000000004,0.01569,0.26359000000000005,0.07951000000000001,0.0284,0.08349000000000001,0.58014,0.8127800000000001,0.07452
Stamps,340,9,9.1176,0.03611,0.0042,0.00232,0.22042,0.00286,0.014610000000000001,0.00363,0.00389,0.04172,0.008090000000000002
Waveform,3443,21,2.9044,0.34734,0.01128,0.006499999999999999,0.24579000000000004,0.03713,0.03003,0.05227,0.31277000000000005,1.0108,0.03823
WBC,223,9,4.4843,0.02027,0.00335,0.0018700000000000001,0.21015,0.0020800000000000003,0.01346,0.0032300000000000002,0.0026100000000000003,0.0345,0.00731
WDBC,367,30,2.7248,0.04022,0.00526,0.006410000000000001,0.21175000000000005,0.00202,0.01298,0.00317,0.00618,0.04064999999999999,0.02314
WPBC,198,33,23.7374,0.01854,0.0036,0.006029999999999999,0.20759,0.00172,0.013740000000000002,0.00232,0.00276,0.02661,0.025899999999999996
