Data,# Samples,# Dimensions,Outlier Perc,ABOD,CBLOF,HBOS,IForest,KNN,LODA,LOF,OCSVM,FB,COD
arrhythmia,452,274,14.6018,0.35854,0.39244,0.49276,0.50139,0.39675,0.42964,0.37421,0.40449999999999997,0.37743999999999994,0.4897
breastw,683,9,34.9927,0.29454,0.9154,0.9529700000000002,0.9696199999999999,0.9269499999999999,0.97736,0.32153,0.9342999999999998,0.28542,0.9876699999999999
cardio,1831,21,9.6122,0.19361999999999996,0.36694,0.46020000000000005,0.5562,0.34511000000000003,0.42995,0.16257000000000002,0.53241,0.16799999999999998,0.5902
ionosphere,351,33,35.8974,0.91407,0.8842399999999999,0.36635000000000006,0.7900400000000001,0.9238200000000001,0.73008,0.82107,0.8229400000000002,0.8204299999999998,0.68082
lympho,148,18,4.0541,0.5168200000000001,0.80996,0.9251699999999999,0.8639800000000001,0.81996,0.47115999999999997,0.8252499999999999,0.81443,0.8219199999999999,0.9052900000000002
mammography,10000,6,2.36,0.024089999999999997,0.13799,0.12549,0.20389,0.17024,0.2186,0.11765999999999999,0.1837,0.09643,0.43184999999999996
optdigits,5216,64,2.8758,0.02788,0.043769999999999996,0.19566,0.049890000000000004,0.022299999999999997,0.040470000000000006,0.02877,0.027489999999999997,0.02915,0.04395999999999999
pima,768,8,34.8958,0.51071,0.48155000000000003,0.5693,0.49863,0.5145000000000001,0.39971000000000007,0.42991,0.46075,0.42860000000000004,0.5222399999999999
satellite,6435,36,31.6395,0.39725,0.66224,0.6866199999999999,0.6627900000000001,0.5430999999999998,0.5909599999999999,0.38976,0.65292,0.38895,0.5697099999999999
satimage-2,5803,36,1.2235,0.18736999999999998,0.9769400000000001,0.7580199999999999,0.94009,0.41864,0.8919599999999999,0.02667,0.9745699999999999,0.02857,0.78243
shuttle,10000,9,7.36,0.16135,0.28959999999999997,0.9740900000000001,0.9680099999999999,0.19971,0.31297,0.15414999999999998,0.9092300000000002,0.10103,0.95845
speech,3686,400,1.6549,0.03945,0.021559999999999996,0.027170000000000007,0.017419999999999998,0.02158,0.021160000000000005,0.02433,0.021419999999999995,0.023710000000000002,0.02198
wbc,378,30,5.5556,0.3545,0.5301400000000001,0.6626799999999999,0.5641200000000001,0.52937,0.58637,0.558,0.5137400000000001,0.55379,0.6952900000000001
wine,129,13,7.7519,0.08379,0.058820000000000004,0.40499999999999997,0.26661999999999997,0.09455000000000001,0.22946,0.36113999999999996,0.14143,0.34444,0.4324
