Data,# Samples,# Dimensions,Outlier Perc,ABOD,CBLOF,HBOS,IForest,KNN,LODA,LOF,OCSVM,FB,COD
arrhythmia,452,274,14.6018,0.38076000000000004,0.4614,0.51108,0.4882000000000001,0.44636999999999993,0.44157,0.4334300000000001,0.4614,0.43295000000000006,0.46495
breastw,683,9,34.9927,0.023969999999999998,0.8656499999999999,0.9303600000000001,0.9214400000000001,0.9049099999999999,0.9354100000000003,0.24957,0.9049099999999999,0.07399,0.9444100000000001
cardio,1831,21,9.6122,0.23742999999999997,0.37245,0.44761000000000006,0.5038,0.33227,0.4197699999999999,0.15409,0.50112,0.17075,0.53687
ionosphere,351,33,35.8974,0.84415,0.79312,0.32951,0.63959,0.86021,0.61478,0.7063400000000001,0.7000499999999998,0.7015000000000001,0.56287
lympho,148,18,4.0541,0.44833999999999996,0.75167,0.8466699999999999,0.80167,0.75167,0.36,0.75167,0.75167,0.75167,0.79667
mammography,10000,6,2.36,0.0,0.21392000000000003,0.13299999999999998,0.22273,0.22625,0.26582000000000006,0.22488999999999998,0.25709,0.15712999999999996,0.41554
optdigits,5216,64,2.8758,0.006019999999999999,0.0,0.21939999999999998,0.02647,0.0,0.009750000000000002,0.023350000000000003,0.0,0.0319,0.010589999999999999
pima,768,8,34.8958,0.51929,0.48103000000000007,0.54238,0.5098,0.54133,0.40573000000000004,0.45552000000000004,0.47035,0.44417,0.48265
satellite,6435,36,31.6395,0.39023,0.5770100000000001,0.56903,0.5641700000000001,0.49944999999999995,0.47404,0.38929,0.5345500000000001,0.39093,0.4777
satimage-2,5803,36,1.2235,0.21304999999999996,0.9375900000000001,0.6939,0.89179,0.38087,0.8137000000000001,0.055510000000000004,0.9355600000000001,0.059860000000000003,0.72342
shuttle,10000,9,7.36,0.19633,0.39814,0.97312,0.93017,0.21556000000000003,0.29198,0.17945,0.9539499999999999,0.12044999999999999,0.94701
speech,3686,400,1.6549,0.06156999999999999,0.021140000000000003,0.05647,0.01744,0.021140000000000003,0.02817,0.03272,0.021140000000000003,0.0386,0.034379999999999994
wbc,378,30,5.5556,0.30604,0.5024900000000001,0.5816600000000001,0.4919200000000001,0.49518000000000006,0.5610100000000001,0.51879,0.51249,0.51879,0.65316
wine,129,13,7.7519,0.02,0.0,0.33999999999999997,0.215,0.0,0.16999999999999998,0.225,0.02,0.2,0.385
