Data,# Samples,# Dimensions,Outlier Perc,ABOD,CBLOF,HBOS,IForest,KNN,LODA,LOF,OCSVM,FB,COD
arrhythmia,452,274,14.6018,0.76875,0.78037,0.8219299999999998,0.8179500000000001,0.7861,0.7260199999999999,0.77866,0.7811600000000001,0.77911,0.8133800000000001
breastw,683,9,34.9927,0.39588,0.9649999999999999,0.9825100000000001,0.98554,0.97546,0.9865,0.4700000000000001,0.9612100000000001,0.37201000000000006,0.9935
cardio,1831,21,9.6122,0.56917,0.7769,0.8351,0.92308,0.7236299999999999,0.8457000000000001,0.5735699999999999,0.9348400000000001,0.58565,0.9213899999999999
ionosphere,351,33,35.8974,0.9247599999999998,0.9034700000000001,0.56144,0.8470099999999998,0.92674,0.8036,0.8753499999999999,0.8419199999999998,0.87463,0.79921
lympho,148,18,4.0541,0.9109700000000001,0.9631099999999998,0.9956900000000001,0.9866800000000001,0.9744999999999999,0.8157099999999999,0.9770900000000001,0.9758699999999999,0.9762299999999999,0.99483
mammography,10000,6,2.36,0.54007,0.82452,0.82792,0.8644200000000002,0.8503299999999999,0.85382,0.73495,0.86875,0.75832,0.9127999999999998
optdigits,5216,64,2.8758,0.46674000000000004,0.66685,0.8732499999999999,0.6875199999999999,0.37076000000000003,0.45980999999999994,0.45004,0.49971999999999994,0.45047,0.6798
pima,768,8,34.8958,0.6793800000000001,0.65964,0.6999500000000001,0.6740999999999999,0.7078099999999999,0.58081,0.62705,0.6215,0.62206,0.6491900000000002
satellite,6435,36,31.6395,0.5713699999999999,0.7460000000000001,0.7581100000000001,0.70358,0.6836399999999999,0.59634,0.55727,0.6622399999999999,0.5574699999999999,0.6328100000000001
satimage-2,5803,36,1.2235,0.81896,0.9990500000000001,0.98042,0.9953100000000001,0.9536000000000001,0.98874,0.4577400000000001,0.9978000000000001,0.46148999999999996,0.97843
shuttle,10000,9,7.36,0.63581,0.70194,0.9898500000000002,0.99642,0.70791,0.52859,0.54491,0.99131,0.48461999999999994,0.99473
speech,3686,400,1.6549,0.6267199999999999,0.45243,0.45384,0.43841,0.45808,0.46904,0.47141,0.44717,0.47190999999999994,0.47275999999999996
wbc,378,30,5.5556,0.90473,0.9185800000000001,0.9516300000000001,0.9261799999999999,0.9366199999999999,0.9418900000000001,0.93488,0.9318899999999999,0.9330999999999999,0.9590299999999999
wine,129,13,7.7519,0.43048000000000003,0.27975000000000005,0.90009,0.8021900000000001,0.51766,0.74583,0.9045099999999999,0.63625,0.8940899999999999,0.8908700000000002
