Data,# Samples,# Dimensions,Outlier Perc,ABOD,CBLOF,HBOS,IForest,KNN,LODA,LOF,OCSVM,FB,COD
arrhythmia,452,274,14.6018,0.18726999999999996,0.25748999999999994,0.31028,0.23052,0.0063,0.021290000000000003,0.00658,0.017839999999999998,0.05652,0.17714
breastw,683,9,34.9927,0.06035,0.00428,0.00208,0.2257,0.005030000000000001,0.014429999999999998,0.007619999999999999,0.01078,0.06599999999999999,0.00957
cardio,1831,21,9.6122,0.15006000000000003,0.006200000000000001,0.004339999999999999,0.23643999999999998,0.014199999999999999,0.01963,0.018289999999999997,0.09168000000000001,0.34886,0.02464
ionosphere,351,33,35.8974,0.03748,0.00417,0.0055000000000000005,0.21454000000000004,0.00215,0.018420000000000002,0.003319999999999999,0.00508,0.03546,0.021789999999999997
lympho,148,18,4.0541,0.015410000000000002,0.00329,0.00326,0.20712999999999998,0.0017100000000000001,0.014350000000000002,0.0024699999999999995,0.00264,0.030260000000000002,0.01352
mammography,10000,6,2.36,0.86872,0.009580000000000002,0.00341,0.28139000000000003,0.12852999999999998,0.04304,0.16626000000000002,1.9710500000000004,1.34105,0.0217
optdigits,5216,64,2.8758,0.53234,0.02389,0.023219999999999998,0.26888000000000006,0.11466000000000001,0.03737,0.14068,0.80561,1.22824,0.11404
pima,768,8,34.8958,0.07911,0.004509999999999999,0.0020399999999999997,0.21605,0.006379999999999999,0.01737,0.00946,0.016439999999999996,0.08651,0.00937
satellite,6435,36,31.6395,0.64131,0.025110000000000004,0.015250000000000003,0.32056000000000007,0.14556,0.04002,0.15890999999999997,1.1168,1.50189,0.09570000000000001
satimage-2,5803,36,1.2235,0.58067,0.014110000000000001,0.012399999999999998,0.25726,0.11157999999999998,0.042890000000000005,0.13749,0.9181500000000001,1.2532799999999997,0.09099
shuttle,10000,9,7.36,1.1579700000000002,0.011030000000000002,0.00444,0.29384,0.34353,0.04247,0.50456,2.11263,3.1102,0.032810000000000006
speech,3686,400,1.6549,0.51055,0.07299,0.11591999999999998,0.24016,0.2354,0.07178,0.23843999999999999,1.26904,1.76758,0.66638
wbc,378,30,5.5556,0.03752,0.0041600000000000005,0.00508,0.20570999999999998,0.00219,0.01414,0.00329,0.006959999999999999,0.042359999999999995,0.02155
wine,129,13,7.7519,0.012759999999999999,0.00312,0.00228,0.22395000000000004,0.0021000000000000003,0.01372,0.00259,0.00202,0.033819999999999996,0.010289999999999999
