row_index,split
0,train
1,test
2,train
3,train
4,test
5,test
6,test
7,test
8,train
9,test
10,train
11,test
12,train
13,test
14,train
15,train
16,test
17,train
18,test
19,train
20,test
21,test
22,test
23,train
24,test
25,train
26,train
27,test
28,test
29,train
30,train
31,train
32,train
33,train
34,train
35,test
36,train
37,test
38,train
39,test
40,train
41,test
42,train
43,test
44,train
45,train
46,train
47,train
48,train
49,train
50,train
51,train
52,train
53,train
54,test
55,train
56,test
57,test
58,train
59,train
60,train
61,test
62,train
63,test
64,train
65,train
66,train
67,test
68,train
69,test
70,test
71,train
72,train
73,train
74,train
75,test
76,train
77,test
78,train
79,train
80,test
81,test
82,train
83,train
84,train
85,train
86,train
87,train
88,test
89,train
90,train
91,train
92,train
93,test
94,train
95,train
96,train
97,train
98,train
99,test
100,train
101,train
102,train
103,test
104,test
105,train
106,train
107,train
108,train
109,train
110,train
111,train
112,test
113,train
114,train
115,test
116,train
117,train
118,train
119,train
120,train
121,train
122,train
123,test
124,test
125,test
126,train
127,train
128,train
129,test
130,train
131,train
132,test
133,train
134,test
135,test
136,train
137,test
138,test
139,test
140,train
141,train
142,test
143,train
144,train
145,train
146,test
147,test
148,train
149,test
150,train
151,test
152,train
153,train
154,train
155,test
156,train
157,test
158,test
159,train
160,train
161,train
162,train
163,train
164,test
165,test
166,test
167,train
168,train
169,test
170,test
171,train
172,test
173,test
174,test
175,train
176,test
177,train
178,train
179,train
180,train
181,train
182,train
183,train
184,test
185,train
186,train
187,train
188,train
189,train
190,train
191,train
192,train
193,test
194,train
195,train
196,train
197,train
198,test
199,train
200,test
201,test
202,train
203,train
204,test
205,train
206,train
207,train
208,train
209,test
210,train
211,train
212,test
213,test
214,test
215,train
216,test
217,train
218,test
219,test
220,train
221,train
222,train
223,train
224,train
225,test
226,train
227,train
228,train
229,train
230,train
231,train
232,train
233,train
234,train
235,train
236,test
237,test
238,test
239,test
240,train
241,train
242,train
243,train
244,train
245,test
246,train
247,train
248,test
249,test
250,test
251,test
252,train
253,train
254,train
255,test
256,train
257,test
258,train
259,train
260,test
261,train
262,train
263,test
264,test
265,train
266,train
267,train
268,train
269,test
270,test
271,test
272,train
273,test
274,train
275,test
276,test
277,test
278,train
279,test
280,train
281,test
282,train
283,train
284,train
285,test
286,train
287,test
288,train
289,test
290,train
291,test
292,train
293,test
294,test
295,train
296,train
297,test
298,test
299,test
300,train
301,test
302,test
303,train
304,train
305,train
306,train
307,train
308,train
309,train
310,train
311,test
312,train
313,train
314,train
315,train
316,test
317,train
318,test
319,test
320,train
321,train
322,train
323,test
324,train
325,train
326,train
327,train
328,test
329,train
330,test
331,train
332,train
333,test
334,test
335,train
336,train
337,train
338,train
339,train
340,train
341,train
342,train
343,train
344,train
345,train
346,test
347,train
348,test
349,train
350,train
351,train
352,train
353,train
354,train
355,test
356,train
357,test
358,test
359,test
360,train
361,test
362,train
363,test
364,train
365,train
366,train
367,test
368,train
369,train
370,train
371,test
372,test
373,train
374,train
375,train
376,train
377,test
378,test
379,test
380,train
381,test
382,test
383,test
384,test
385,test
386,train
387,train
388,train
389,test
390,test
391,train
392,test
393,train
394,test
395,train
396,train
397,test
398,train
399,train
400,train
401,train
402,test
403,train
404,test
405,train
406,test
407,train
408,train
409,train
410,test
411,test
412,test
413,train
414,test
415,test
416,train
417,train
418,test
419,test
420,train
421,train
422,train
423,test
424,test
425,test
426,test
427,test
428,train
429,test
430,train
431,train
432,train
433,test
434,test
435,train
436,train
437,train
438,train
439,test
440,train
441,test
442,train
443,train
444,train
445,test
446,test
447,train
448,train
449,test
450,train
451,train
452,train
453,test
454,test
455,train
456,train
457,train
458,train
459,train
460,test
461,train
462,train
463,train
464,test
465,test
466,test
467,train
468,test
469,train
470,train
471,train
472,test
473,train
474,train
475,train
476,train
477,train
478,test
479,train
480,test
481,train
482,test
483,test
484,test
485,train
486,train
487,train
488,test
489,train
490,test
491,train
492,train
493,train
494,test
495,train
496,train
497,train
498,train
499,test
500,train
501,train
502,train
503,train
504,train
505,test
506,test
507,train
508,test
509,train
510,train
511,train
512,train
513,test
514,train
515,train
516,train
517,train
518,train
519,train
520,train
521,train
522,train
523,train
524,test
525,test
526,train
527,train
528,test
529,train
530,test
531,train
532,train
533,train
534,train
535,train
536,train
537,train
538,test
539,train
540,test
541,test
542,train
543,train
544,train
545,test
546,test
547,test
548,test
549,test
550,train
551,test
552,test
553,train
554,train
555,test
556,train
557,train
558,train
559,train
560,train
561,train
562,test
563,test
564,train
565,test
566,train
567,test
568,test
569,train
570,train
571,test
572,test
573,train
574,train
575,train
576,train
577,test
578,train
579,train
580,train
581,test
582,train
583,train
584,train
585,train
586,test
587,test
588,train
589,test
590,test
591,train
592,test
593,train
594,train
595,train
596,train
597,train
598,train
599,test
600,train
601,test
602,test
603,train
604,test
605,test
606,train
607,train
608,test
609,train
610,test
611,test
612,train
613,test
614,train
615,train
616,train
617,test
618,train
619,train
620,test
621,test
622,train
623,test
624,train
625,test
626,train
627,test
628,test
629,train
630,train
631,test
632,train
633,train
634,test
635,train
636,train
637,train
638,test
639,test
640,train
641,test
642,train
643,test
644,train
645,test
646,train
647,test
648,train
649,train
650,train
651,train
652,test
653,train
654,train
655,train
656,train
657,train
658,train
659,train
660,train
661,train
662,test
663,test
664,test
665,test
666,train
667,test
668,test
669,train
670,train
671,test
672,test
673,train
674,train
675,train
676,train
677,train
678,test
679,test
680,train
681,train
682,test
683,train
684,test
685,train
686,train
687,train
688,train
689,train
690,test
691,train
692,train
693,test
694,test
695,test
696,train
697,test
698,train
699,train
700,train
701,test
702,test
703,train
704,test
705,train
706,test
707,train
708,train
709,train
710,train
711,train
712,train
713,train
714,train
715,train
716,train
717,train
718,train
719,train
720,test
721,test
722,test
723,test
724,test
725,train
726,train
727,train
728,test
729,train
730,train
731,test
732,train
733,test
734,test
735,test
736,train
737,train
738,test
739,test
740,train
741,train
742,train
743,test
744,train
745,train
746,train
747,train
748,train
749,test
750,test
751,test
752,test
753,test
754,train
755,train
756,train
757,train
758,train
759,test
760,train
761,train
762,test
763,test
764,test
765,test
766,train
767,train
768,train
769,train
770,train
771,test
772,train
773,train
774,train
775,train
776,train
777,train
778,train
779,train
780,train
781,train
782,train
783,train
784,train
785,train
786,test
787,train
788,train
789,train
790,train
791,test
792,train
793,test
794,train
795,train
796,test
797,train
798,train
799,test
800,train
801,test
802,train
803,train
804,train
805,train
806,train
807,test
808,test
809,test
810,test
811,test
812,test
813,train
