scenario,method,data_seed,split_seed,n_features,n_train,n_test,train_anomalies,test_anomalies,test_prevalence,roc_auc,average_precision
marginal_shift,pyod_batch,42,42,20,6000,4000,300,200,0.05,0.7056447368421053,0.0962993241123755
marginal_shift,fixed_training_reference,42,42,20,6000,4000,300,200,0.05,0.7028197368421052,0.0940068978492188
dependence_violation,pyod_batch,42,42,20,6000,4000,300,200,0.05,0.5556539473684211,0.0506966388155543
dependence_violation,fixed_training_reference,42,42,20,6000,4000,300,200,0.05,0.5591671052631579,0.0512529462063056
marginal_shift,pyod_batch,43,42,20,6000,4000,300,200,0.05,0.7294026315789474,0.1108772921876093
marginal_shift,fixed_training_reference,43,42,20,6000,4000,300,200,0.05,0.7326947368421052,0.1123188371439625
dependence_violation,pyod_batch,43,42,20,6000,4000,300,200,0.05,0.5421973684210526,0.0492408965230189
dependence_violation,fixed_training_reference,43,42,20,6000,4000,300,200,0.05,0.5506407894736842,0.0503088838580314
marginal_shift,pyod_batch,44,42,20,6000,4000,300,200,0.05,0.7203342105263157,0.1103557619728735
marginal_shift,fixed_training_reference,44,42,20,6000,4000,300,200,0.05,0.7063289473684211,0.0997371400352798
dependence_violation,pyod_batch,44,42,20,6000,4000,300,200,0.05,0.544675,0.0494794820132847
dependence_violation,fixed_training_reference,44,42,20,6000,4000,300,200,0.05,0.5426605263157894,0.0494815957765153
marginal_shift,pyod_batch,45,42,20,6000,4000,300,200,0.05,0.7323171052631577,0.1048225540279046
marginal_shift,fixed_training_reference,45,42,20,6000,4000,300,200,0.05,0.7320263157894736,0.1023188844398661
dependence_violation,pyod_batch,45,42,20,6000,4000,300,200,0.05,0.5226723684210527,0.0472174182021791
dependence_violation,fixed_training_reference,45,42,20,6000,4000,300,200,0.05,0.5093407894736842,0.0461182574809772
marginal_shift,pyod_batch,46,42,20,6000,4000,300,200,0.05,0.7077736842105262,0.0897350256713785
marginal_shift,fixed_training_reference,46,42,20,6000,4000,300,200,0.05,0.7041539473684211,0.094002776431295
dependence_violation,pyod_batch,46,42,20,6000,4000,300,200,0.05,0.5322815789473684,0.0485204347670059
dependence_violation,fixed_training_reference,46,42,20,6000,4000,300,200,0.05,0.5304868421052631,0.0483076254938031
