row_index,split
0,train
1,test
2,train
3,train
4,test
5,test
6,test
7,test
8,train
9,test
10,test
11,train
12,test
13,train
14,test
15,train
16,train
17,test
18,train
19,test
20,train
21,test
22,test
23,test
24,train
25,test
26,train
27,train
28,test
29,test
30,train
31,train
32,train
33,train
34,train
35,train
36,test
37,train
38,train
39,test
40,train
41,test
42,train
43,test
44,train
45,train
46,train
47,train
48,train
49,train
50,train
51,train
52,train
53,train
54,test
55,train
56,test
57,test
58,train
59,train
60,train
61,train
62,test
63,train
64,train
65,train
66,test
67,train
68,test
69,test
70,train
71,test
72,train
73,train
74,train
75,test
76,train
77,test
78,train
79,test
80,train
81,train
82,test
83,test
84,train
85,train
86,train
87,train
88,train
89,train
90,train
91,train
92,train
93,train
94,train
95,test
96,train
97,train
98,train
99,train
100,test
101,train
102,train
103,test
104,test
105,train
106,train
107,train
108,train
109,train
110,train
111,test
112,train
113,train
114,train
115,train
116,train
117,train
118,train
119,train
120,train
121,test
122,test
123,test
124,train
125,train
126,train
127,train
128,train
129,test
130,train
131,test
132,test
133,train
134,train
135,test
136,test
137,test
138,train
139,train
140,test
141,train
142,train
143,train
144,test
145,test
146,train
147,test
148,test
149,train
150,train
151,train
152,test
153,train
154,test
155,test
156,train
157,train
158,train
159,test
160,train
161,test
162,test
163,test
164,train
165,train
166,test
167,test
168,train
169,test
170,test
171,test
172,train
173,test
174,train
175,train
176,train
177,test
178,train
179,train
180,train
181,train
182,train
183,test
184,train
185,train
186,train
187,train
188,train
189,train
190,train
191,train
192,test
193,train
194,train
195,train
196,train
197,test
198,train
199,test
200,test
201,train
202,train
203,test
204,train
205,train
206,train
207,test
208,train
209,train
210,test
211,test
212,test
213,train
214,test
215,train
216,test
217,test
218,train
219,train
220,train
221,train
222,train
223,test
224,train
225,train
226,train
227,train
228,train
229,train
230,train
231,train
232,train
233,train
234,test
235,test
236,test
237,train
238,train
239,train
240,train
241,train
242,test
243,train
244,test
245,test
246,test
247,test
248,train
249,train
250,train
251,test
252,train
253,test
254,train
255,train
256,test
257,train
258,train
259,test
260,test
261,train
262,train
263,train
264,train
265,test
266,test
267,train
268,train
269,test
270,train
271,test
272,test
273,test
274,train
275,test
276,train
277,test
278,train
279,train
280,test
281,train
282,test
283,train
284,test
285,train
286,test
287,test
288,train
289,test
290,test
291,train
292,train
293,test
294,test
295,test
296,train
297,test
298,test
299,train
300,train
301,train
302,train
303,train
304,train
305,train
306,train
307,train
308,test
309,train
310,train
311,train
312,train
313,test
314,train
315,test
316,test
317,train
318,train
319,train
320,test
321,test
322,train
323,train
324,train
325,train
326,test
327,train
328,test
329,train
330,train
331,test
332,test
333,train
334,train
335,train
336,train
337,train
338,train
339,train
340,train
341,train
342,train
343,train
344,train
345,test
346,train
347,test
348,train
349,train
350,train
351,train
352,train
353,train
354,train
355,test
356,train
357,test
358,test
359,test
360,test
361,train
362,test
363,train
364,train
365,train
366,train
367,train
368,train
369,test
370,train
371,train
372,train
373,train
374,train
375,test
376,test
377,test
378,test
379,train
380,test
381,test
382,test
383,test
384,test
385,test
386,train
387,train
388,train
389,train
390,test
391,test
392,train
393,test
394,train
395,test
396,train
397,train
398,train
399,test
400,train
401,train
402,train
403,train
404,test
405,train
406,test
407,test
408,train
409,test
410,train
411,train
412,train
413,test
414,test
415,test
416,train
417,test
418,test
419,train
420,train
421,test
422,test
423,train
424,train
425,train
426,test
427,test
428,test
429,test
430,test
431,train
432,test
433,train
434,train
435,test
436,test
437,train
438,train
439,train
440,test
441,train
442,test
443,train
444,train
445,train
446,train
447,test
448,test
449,train
450,train
451,test
452,train
453,train
454,train
455,test
456,train
457,train
458,train
459,train
460,train
461,test
462,train
463,train
464,train
465,test
466,test
467,test
468,train
469,test
470,train
471,train
472,train
473,test
474,train
475,train
476,train
477,train
478,train
479,test
480,train
481,test
482,train
483,test
484,test
485,test
486,train
487,train
488,train
489,test
490,train
491,test
492,train
493,train
494,train
495,test
496,train
497,train
498,train
499,train
500,test
501,train
502,train
503,train
504,train
505,train
506,test
507,test
508,train
509,test
510,train
511,test
512,train
513,train
514,test
515,train
516,train
517,train
518,train
519,train
520,train
521,train
522,train
523,train
524,train
525,train
526,test
527,train
528,train
529,test
530,train
531,test
532,train
533,train
534,train
535,train
536,train
537,train
538,train
539,test
540,train
541,test
542,test
543,train
544,train
545,train
546,test
547,test
548,test
549,test
550,test
551,train
552,test
553,test
554,train
555,train
556,test
557,train
558,train
559,train
560,train
561,train
562,train
563,test
564,test
565,train
566,test
567,train
568,test
569,test
570,train
571,train
572,test
573,test
574,train
575,train
576,train
577,train
578,train
579,test
580,train
581,train
582,train
583,test
584,test
585,test
586,train
587,test
588,test
589,train
590,test
591,train
592,train
593,train
594,train
595,train
596,train
597,test
598,train
599,test
600,test
601,train
602,test
603,test
604,train
605,train
606,test
607,train
608,test
609,train
610,test
611,train
612,test
613,train
614,train
615,train
616,test
617,train
618,train
619,test
620,test
621,train
622,test
623,train
624,test
625,train
626,test
627,train
628,train
629,test
630,train
631,train
632,train
633,train
634,train
635,test
636,train
637,test
638,train
639,test
640,train
641,test
642,train
643,test
644,train
645,train
646,train
647,train
648,train
649,test
650,train
651,test
652,train
653,train
654,train
655,train
656,train
657,train
658,train
659,train
660,test
661,test
662,test
663,test
664,train
665,test
666,test
667,train
668,train
669,test
670,test
671,train
672,train
673,train
674,train
675,train
676,test
677,test
678,train
679,train
680,test
681,train
682,test
683,train
684,train
685,train
686,train
687,test
688,train
689,train
690,test
691,test
692,test
693,train
694,test
695,train
696,train
697,test
698,test
699,train
700,test
701,test
702,train
703,test
704,train
705,train
706,train
707,train
708,train
709,train
710,test
711,train
712,train
713,train
714,train
715,train
716,train
717,train
718,test
719,test
720,test
721,test
722,test
723,train
724,train
725,test
726,train
727,train
728,test
729,train
730,train
731,test
732,test
733,test
734,train
735,train
736,test
737,test
738,train
739,train
740,train
741,test
742,train
743,train
744,train
745,train
746,train
747,test
748,test
749,test
750,test
751,test
752,train
753,train
754,train
755,train
756,train
757,test
758,train
759,train
760,test
761,test
762,test
763,test
764,train
765,train
766,train
767,train
768,train
769,test
770,train
771,train
772,train
773,train
774,train
775,train
776,train
777,train
778,train
779,train
780,train
781,train
782,train
783,train
784,train
785,test
786,train
787,train
788,train
789,train
790,test
791,train
792,train
793,train
794,train
795,train
796,train
797,test
798,test
799,train
800,test
801,train
802,train
803,train
804,train
805,test
806,test
807,test
808,test
809,test
810,test
811,train
812,train
813,test
